Апартаменты-1 час,Апартаменты-2 часа,Апартаменты-Ночь,Выезд-1 час,Выезд-2 часа,Выезд-Ночь,Id,Комментарий к ценам
,,,3 000 р.,5 000 р.,12 000 р.,305448,
5 000 р.,10 000 р.,30 000 р.,12 000 р.,15 000 р.,35 000 р.,128848,Контактов в час: неограничено.
12 000 р.,24 000 р.,60 000 р.,-,24 000 р.,60 000 р.,292852,Контактов в час: неограничено.Это цена за час с нами двумя... Внимание сегодня Работаем.. Для тех кто попасть не может)
4 000 р.,8 000 р.,20 000 р.,-,8 000 р.,20 000 р.,322895,
,,,3 000 р.,6 000 р.,12 000 р.,322248,Контактов в час: неограничено.секс в машине 2500 стоимость доп. услуги обговаривается заранее по телефону или при личной встрече
5 000 р.,10 000 р.,50 000 р.,20 000 р.,40 000 р.,-,318143,"Контактов в час: неограничено.Нестандартный подход к вашим желаниям и фантазиям... Занятия и консультации по тантре обсуждаются индивидуально, взависимости от уровня подготовки..."
2 500 р.,4 000 р.,10 000 р.,-,7 000 р.,12 000 р.,324856,Контактов в час: неограничено.
10 000 р.,15 000 р.,40 000 р.,15 000 р.,25 000 р.,50 000 р.,277284,
12 000 р.,24 000 р.,60 000 р.,-,25 000 р.,60 000 р.,321084,Контактов в час: неограничено.
5 000 р.,10 000 р.,20 000 р.,-,10 000 р.,20 000 р.,321131,Контактов в час: неограничено.
3 000 р.,6 000 р.,20 000 р.,10 000 р.,25 000 р.,,146912,Контактов в час: неограничено.
7 000 р.,14 000 р.,-,8 000 р.,14 000 р.,-,322729,Контактов в час: неограничено.
2 000 р.,4 000 р.,8 000 р.,-,8 000 р.,-,316409,Контактов в час: до 2.
,,,3 500 р.,5 000 р.,8 000 р.,324367,Услуги такси оплачиваются отдельно
5 000 р.,10 000 р.,30 000 р.,15 000 р.,-,,298983,-
,,,3 500 р.,5 000 р.,9 000 р.,307911,
3 000 р.,-,-,-,8 000 р.,-,321867,Контактов в час: 1.МБР в вашем авто- 2000.
3 000 р.,6 000 р.,-,,,,314295,Контактов в час: до 2.
,,,3 000 р.,4 500 р.,8 000 р.,309129,
4 000 р.,8 000 р.,20 000 р.,9 000 р.,20 000 р.,,317225,"Контактов в час: до 2.Не забываем, при выезде к вам такси за ваш счет"
7 000 р.,12 000 р.,-,-,-,-,262011,
3 000 р.,6 000 р.,-,,,,93920,Контактов в час: неограничено.
1 500 р.,3 000 р.,7 000 р.,,,,322609,Контактов в час: до 2.
6 000 р.,12 000 р.,-,12 000 р.,-,,322469,-
2 500 р.,5 000 р.,12 500 р.,-,6 000 р.,14 000 р.,322239,
6 000 р.,12 000 р.,30 000 р.,,,,322486,
2 000 р.,4 000 р.,-,,,,304241,
2 500 р.,5 000 р.,13 000 р.,7 000 р.,7 000 р.,15 000 р.,323283,
-,-,-,-,-,-,230014,Контактов в час: 1.Есть выезд24ч. цена по тел.
2 000 р.,4 000 р.,10 000 р.,,,,319387,
3 500 р.,7 000 р.,20 000 р.,-,10 000 р.,20 000 р.,246287,Контактов в час: до 2.
,,,-,18 000 р.,-,318079,Контактов в час: неограничено.
5 000 р.,10 000 р.,-,-,15 000 р.,-,193816,Контактов в час: до 2.
7 000 р.,14 000 р.,40 000 р.,-,20 000 р.,50 000 р.,268965,Контактов в час: неограничено.
7 000 р.,14 000 р.,40 000 р.,17 000 р.,50 000 р.,,318438,Контактов в час: до 2.
,,,-,5 000 р.,12 000 р.,322661,Контактов в час: неограничено.
10 000 р.,20 000 р.,60 000 р.,-,20 000 р.,60 000 р.,111041,Контактов в час: неограничено.
12 000 р.,24 000 р.,-,,,,323746,Контактов в час: до 2.Экспресс не практикую.
,,,3 000 р.,5 000 р.,8 000 р.,292770,
5 000 р.,10 000 р.,40 000 р.,-,10 000 р.,40 000 р.,324916,Контактов в час: неограничено.
4 000 р.,8 000 р.,30 000 р.,,,,285702,Контактов в час: неограничено.
15 000 р.,30 000 р.,70 000 р.,30 000 р.,30 000 р.,70 000 р.,267561,
10 000 р.,15 000 р.,60 000 р.,15 000 р.,60 000 р.,,317784,Контактов в час: неограничено.P. S. обожаю секс под порнофильмы на большом мониторе.
2 500 р.,5 000 р.,12 000 р.,-,8 000 р.,-,321969,Контактов в час: до 2.ЭКСПРЕСС-1500Р.
1 500 р.,3 000 р.,10 000 р.,,,,323535,Контактов в час: до 2.
3 000 р.,6 000 р.,12 000 р.,-,6 000 р.,15 000 р.,324058,
2 500 р.,5 000 р.,-,2 500 р.,5 000 р.,12 000 р.,258147,Контактов в час: неограничено.
1 500 р.,3 000 р.,-,,,,320961,Контактов в час: до 2.
